millisec, event-type, event-code, event-value
22163, 0, 0, 1
22203, 1, 58, 2
22203, 0, 0, 1
22243, 1, 58, 2
22243, 0, 0, 1
22287, 1, 58, 2
22287, 0, 0, 1
22331, 1, 58, 2
22331, 0, 0, 1
22375, 1, 58, 2
22375, 0, 0, 1
22415, 1, 58, 2
22415, 0, 0, 1
22455, 1, 58, 2
22455, 0, 0, 1
22495, 1, 58, 2
22495, 0, 0, 1
22535, 1, 58, 2
22535, 0, 0, 1
22579, 1, 58, 2
22579, 0, 0, 1
22619, 1, 58, 2
22619, 0, 0, 1
22663, 1, 58, 2
22663, 0, 0, 1
22703, 1, 58, 2
22703, 0, 0, 1
22747, 1, 58, 2
22747, 0, 0, 1
22787, 1, 58, 2
22787, 0, 0, 1
22827, 1, 58, 2
22827, 0, 0, 1
22871, 1, 58, 2
22871, 0, 0, 1
22911, 1, 58, 2
22911, 0, 0, 1
22955, 1, 58, 2
22955, 0, 0, 1
22995, 1, 58, 2
22995, 0, 0, 1
23035, 1, 58, 2
23035, 0, 0, 1
23079, 1, 58, 2
23079, 0, 0, 1
23123, 1, 58, 2
23123, 0, 0, 1
23163, 1, 58, 2
23163, 0, 0, 1
23203, 1, 58, 2
23203, 0, 0, 1
23247, 1, 58, 2
23247, 0, 0, 1
23287, 1, 58, 2
23287, 0, 0, 1
23327, 1, 58, 2
23327, 0, 0, 1
23371, 1, 58, 2
23371, 0, 0, 1
23415, 1, 58, 2
23415, 0, 0, 1
23455, 1, 58, 2
23455, 0, 0, 1
23495, 1, 58, 2
23495, 0, 0, 1
23535, 1, 58, 2
23535, 0, 0, 1
23579, 1, 58, 2
23579, 0, 0, 1
23619, 1, 58, 2
23619, 0, 0, 1
23659, 1, 58, 2
23659, 0, 0, 1
23703, 1, 58, 2
23703, 0, 0, 1
23743, 1, 58, 2
23743, 0, 0, 1
23783, 1, 58, 2
23783, 0, 0, 1
23823, 1, 58, 2
23823, 0, 0, 1
23863, 1, 58, 2
23863, 0, 0, 1
23907, 1, 58, 2
23907, 0, 0, 1
23951, 1, 58, 2
23951, 0, 0, 1
23988, 4, 4, 458758
23988, 1, 46, 1
23988, 0, 0, 0
