millisec, event-type, event-code, event-value
2616, 2, 0, -1
2616, 0, 0, 0
2617, 2, 0, -2
2617, 2, 1, -1
2617, 0, 0, 0
2618, 2, 0, -1
2618, 0, 0, 0
2619, 2, 0, -1
2619, 0, 0, 0
2620, 2, 0, -1
2620, 0, 0, 0
2621, 2, 0, -1
2621, 2, 1, -1
2621, 0, 0, 0
2622, 2, 0, -1
2622, 0, 0, 0
2623, 2, 0, -1
2623, 0, 0, 0
2624, 2, 0, -1
2624, 0, 0, 0
2625, 2, 0, -1
2625, 0, 0, 0
2626, 2, 0, -1
2626, 2, 1, -1
2626, 0, 0, 0
2627, 2, 0, -1
2627, 0, 0, 0
2628, 2, 0, -1
2628, 0, 0, 0
2629, 2, 0, -1
2629, 0, 0, 0
2630, 2, 0, -1
2630, 0, 0, 0
2631, 2, 0, -1
2631, 0, 0, 0
2632, 2, 0, -1
2632, 0, 0, 0
2633, 2, 0, -1
2633, 0, 0, 0
2634, 2, 0, -1
2634, 0, 0, 0
2635, 2, 0, -1
2635, 0, 0, 0
2636, 2, 0, -1
2636, 0, 0, 0
2637, 2, 0, -2
2637, 0, 0, 0
2639, 2, 0, -2
2639, 0, 0, 0
2641, 2, 0, -2
2641, 0, 0, 0
2643, 2, 0, -2
2643, 0, 0, 0
2644, 2, 0, -1
2644, 0, 0, 0
2645, 2, 0, -1
2645, 0, 0, 0
2646, 2, 0, -1
2646, 0, 0, 0
2647, 2, 0, -2
2647, 2, 1, 1
2647, 0, 0, 0
2649, 2, 0, -1
2649, 0, 0, 0
2650, 2, 0, -3
2650, 0, 0, 0
2651, 2, 0, -1
2651, 2, 1, 1
2651, 0, 0, 0
2652, 2, 0, -1
2652, 0, 0, 0
2653, 2, 0, -2
2653, 0, 0, 0
2654, 2, 0, -1
2654, 2, 1, 1
2654, 0, 0, 0
2655, 2, 0, -1
2655, 0, 0, 0
2656, 2, 0, -2
2656, 0, 0, 0
2657, 2, 0, -1
2657, 2, 1, 1
2657, 0, 0, 0
2658, 2, 0, -2
2658, 2, 1, 1
2658, 0, 0, 0
2659, 2, 0, -1
2659, 0, 0, 0
2660, 2, 0, -1
2660, 0, 0, 0
2661, 2, 0, -2
2661, 2, 1, 1
2661, 0, 0, 0
2662, 2, 0, -1
2662, 0, 0, 0
2663, 2, 0, -2
2663, 2, 1, 1
2663, 0, 0, 0
2664, 2, 0, -2
2664, 0, 0, 0
2665, 2, 0, -1
2665, 2, 1, 1
2665, 0, 0, 0
2666, 2, 0, -2
2666, 2, 1, 1
2666, 0, 0, 0
2667, 2, 0, -1
2667, 0, 0, 0
2668, 2, 0, -1
2668, 2, 1, 1
2668, 0, 0, 0
2669, 2, 0, -2
2669, 0, 0, 0
2670, 2, 0, -2
2670, 2, 1, 1
2670, 0, 0, 0
2671, 2, 0, -1
2671, 2, 1, 1
2671, 0, 0, 0
2672, 2, 0, -2
2672, 0, 0, 0
2673, 2, 0, -1
2673, 2, 1, 1
2673, 0, 0, 0
2674, 2, 0, -2
2674, 2, 1, 1
2674, 0, 0, 0
2675, 2, 0, -1
2675, 2, 1, 1
2675, 0, 0, 0
2676, 2, 0, -3
2676, 2, 1, 1
2676, 0, 0, 0
2677, 2, 0, -1
2677, 0, 0, 0
2678, 2, 0, -1
2678, 2, 1, 1
2678, 0, 0, 0
2679, 2, 0, -2
2679, 2, 1, 1
2679, 0, 0, 0
2680, 2, 0, -1
2680, 2, 1, 1
2680, 0, 0, 0
2681, 2, 0, -1
2681, 2, 1, 1
2681, 0, 0, 0
2682, 2, 0, -2
2682, 0, 0, 0
2683, 2, 0, -1
2683, 2, 1, 1
2683, 0, 0, 0
2684, 2, 0, -1
2684, 2, 1, 1
2684, 0, 0, 0
2685, 2, 0, -2
2685, 2, 1, 1
2685, 0, 0, 0
2686, 2, 0, -2
2686, 2, 1, 1
2686, 0, 0, 0
2687, 2, 0, -1
2687, 2, 1, 1
2687, 0, 0, 0
2688, 2, 0, -1
2688, 0, 0, 0
2689, 2, 0, -1
2689, 2, 1, 1
2689, 0, 0, 0
2690, 2, 0, -1
2690, 2, 1, 1
2690, 0, 0, 0
2691, 2, 0, -2
2691, 2, 1, 1
2691, 0, 0, 0
2692, 2, 1, 1
2692, 0, 0, 0
2693, 2, 0, -2
2693, 2, 1, 1
2693, 0, 0, 0
2694, 2, 0, -1
2694, 2, 1, 1
2694, 0, 0, 0
2695, 2, 0, -1
2695, 2, 1, 1
2695, 0, 0, 0
2696, 2, 0, -1
2696, 2, 1, 1
2696, 0, 0, 0
2697, 2, 0, -1
2697, 0, 0, 0
2698, 2, 0, -1
2698, 2, 1, 1
2698, 0, 0, 0
2699, 2, 0, -2
2699, 2, 1, 1
2699, 0, 0, 0
2700, 2, 0, -1
2700, 2, 1, 1
2700, 0, 0, 0
2701, 2, 0, -1
2701, 2, 1, 1
2701, 0, 0, 0
2702, 2, 0, -1
2702, 2, 1, 1
2702, 0, 0, 0
2703, 2, 0, -1
2703, 2, 1, 1
2703, 0, 0, 0
2704, 2, 0, -1
2704, 2, 1, 2
2704, 0, 0, 0
2705, 2, 0, -1
2705, 0, 0, 0
2706, 2, 0, -2
2706, 2, 1, 2
2706, 0, 0, 0
2707, 2, 0, -1
2707, 0, 0, 0
2708, 2, 0, -1
2708, 2, 1, 2
2708, 0, 0, 0
2709, 2, 0, -2
2709, 2, 1, 2
2709, 0, 0, 0
2710, 2, 0, -2
2710, 2, 1, 1
2710, 0, 0, 0
2711, 2, 0, -1
2711, 2, 1, 1
2711, 0, 0, 0
2712, 2, 0, -1
2712, 2, 1, 1
2712, 0, 0, 0
2713, 2, 0, -2
2713, 2, 1, 2
2713, 0, 0, 0
2714, 2, 0, -1
2714, 2, 1, 1
2714, 0, 0, 0
2715, 2, 0, -1
2715, 2, 1, 1
2715, 0, 0, 0
2716, 2, 0, -2
2716, 2, 1, 1
2716, 0, 0, 0
2717, 2, 0, -1
2717, 2, 1, 2
2717, 0, 0, 0
2718, 2, 0, -2
2718, 2, 1, 1
2718, 0, 0, 0
2719, 2, 0, -1
2719, 2, 1, 1
2719, 0, 0, 0
2720, 2, 0, -1
2720, 2, 1, 1
2720, 0, 0, 0
2721, 2, 0, -2
2721, 2, 1, 1
2721, 0, 0, 0
2722, 2, 0, -1
2722, 2, 1, 2
2722, 0, 0, 0
2723, 2, 0, -1
2723, 2, 1, 1
2723, 0, 0, 0
2724, 2, 0, -2
2724, 2, 1, 1
2724, 0, 0, 0
2725, 2, 0, -1
2725, 2, 1, 1
2725, 0, 0, 0
2726, 2, 0, -1
2726, 2, 1, 1
2726, 0, 0, 0
2727, 2, 0, -1
2727, 2, 1, 1
2727, 0, 0, 0
2728, 2, 0, -1
2728, 2, 1, 1
2728, 0, 0, 0
2729, 2, 0, -2
2729, 2, 1, 2
2729, 0, 0, 0
2730, 2, 0, -2
2730, 2, 1, 1
2730, 0, 0, 0
2731, 2, 0, -1
2731, 2, 1, 1
2731, 0, 0, 0
2732, 2, 0, -1
2732, 2, 1, 1
2732, 0, 0, 0
2733, 2, 0, -1
2733, 2, 1, 1
2733, 0, 0, 0
2734, 2, 0, -2
2734, 2, 1, 2
2734, 0, 0, 0
2735, 2, 0, -1
2735, 2, 1, 1
2735, 0, 0, 0
2736, 2, 0, -1
2736, 2, 1, 1
2736, 0, 0, 0
2737, 2, 0, -2
2737, 2, 1, 1
2737, 0, 0, 0
2738, 2, 1, 1
2738, 0, 0, 0
2739, 2, 0, -2
2739, 2, 1, 1
2739, 0, 0, 0
2740, 2, 0, -1
2740, 2, 1, 1
2740, 0, 0, 0
2741, 2, 0, -1
2741, 2, 1, 2
2741, 0, 0, 0
2742, 2, 0, -1
2742, 2, 1, 1
2742, 0, 0, 0
2743, 2, 0, -1
2743, 2, 1, 1
2743, 0, 0, 0
2744, 2, 0, -1
2744, 2, 1, 1
2744, 0, 0, 0
2745, 2, 0, -1
2745, 2, 1, 1
2745, 0, 0, 0
2746, 2, 0, -2
2746, 2, 1, 1
2746, 0, 0, 0
2747, 2, 0, -1
2747, 2, 1, 1
2747, 0, 0, 0
2748, 2, 0, -1
2748, 2, 1, 1
2748, 0, 0, 0
2749, 2, 0, -1
2749, 2, 1, 1
2749, 0, 0, 0
2750, 2, 0, -1
2750, 2, 1, 1
2750, 0, 0, 0
2751, 2, 0, -1
2751, 2, 1, 2
2751, 0, 0, 0
2752, 2, 0, -1
2752, 0, 0, 0
2753, 2, 0, -1
2753, 2, 1, 2
2753, 0, 0, 0
2754, 2, 0, -1
2754, 0, 0, 0
2755, 2, 0, -1
2755, 2, 1, 1
2755, 0, 0, 0
2756, 2, 0, -1
2756, 2, 1, 1
2756, 0, 0, 0
2757, 2, 0, -1
2757, 2, 1, 2
2757, 0, 0, 0
2758, 2, 0, -1
2758, 0, 0, 0
2759, 2, 0, -1
2759, 2, 1, 1
2759, 0, 0, 0
2760, 2, 0, -1
2760, 2, 1, 1
2760, 0, 0, 0
2761, 2, 0, -1
2761, 2, 1, 1
2761, 0, 0, 0
2762, 2, 0, -1
2762, 0, 0, 0
2763, 2, 0, -1
2763, 2, 1, 1
2763, 0, 0, 0
2764, 2, 0, -1
2764, 2, 1, 1
2764, 0, 0, 0
2765, 2, 0, -1
2765, 2, 1, 1
2765, 0, 0, 0
2766, 2, 0, -1
2766, 2, 1, 1
2766, 0, 0, 0
2767, 2, 0, -1
2767, 0, 0, 0
2768, 2, 0, -1
2768, 0, 0, 0
2769, 2, 1, 1
2769, 0, 0, 0
2770, 2, 0, -1
2770, 0, 0, 0
2771, 2, 0, -1
2771, 2, 1, 1
2771, 0, 0, 0
2772, 2, 0, -1
2772, 0, 0, 0
2773, 2, 0, -1
2773, 0, 0, 0
2774, 2, 1, 1
2774, 0, 0, 0
2775, 2, 0, -1
2775, 0, 0, 0
2776, 2, 0, -1
2776, 2, 1, 1
2776, 0, 0, 0
2777, 2, 0, -1
2777, 0, 0, 0
2779, 2, 0, -1
2779, 0, 0, 0
2781, 2, 0, -1
2781, 2, 1, 1
2781, 0, 0, 0
2784, 2, 0, -1
2784, 0, 0, 0
2787, 2, 0, -1
2787, 0, 0, 0
2797, 2, 0, -1
2797, 0, 0, 0
2858, 2, 0, 1
2858, 0, 0, 0
2863, 2, 0, 1
2863, 0, 0, 0
2869, 2, 0, 1
2869, 0, 0, 0
2871, 2, 1, -1
2871, 0, 0, 0
2875, 2, 0, 1
2875, 0, 0, 0
2877, 2, 1, -1
2877, 0, 0, 0
2881, 2, 0, 1
2881, 0, 0, 0
2930, 2, 0, 1
