millisec, event-type, event-code, event-value
10408, 2, 0, 1
10408, 2, 1, 1
10408, 0, 0, 0
10410, 2, 0, 1
10410, 0, 0, 0
10412, 2, 0, 1
10412, 0, 0, 0
10413, 2, 1, 1
10413, 0, 0, 0
10415, 2, 0, 1
10415, 0, 0, 0
10418, 2, 0, 1
10418, 0, 0, 0
10423, 2, 0, 1
10423, 0, 0, 0
10821, 2, 0, 1
10821, 0, 0, 0
11446, 2, 0, 1
11446, 0, 0, 0
11450, 2, 0, 1
11450, 0, 0, 0
11454, 2, 0, 1
11454, 0, 0, 0
11455, 2, 1, -1
11455, 0, 0, 0
11457, 2, 0, 1
11457, 0, 0, 0
11459, 2, 1, -1
11459, 0, 0, 0
11460, 2, 0, 1
11460, 0, 0, 0
11463, 2, 0, 1
11463, 0, 0, 0
11464, 2, 1, -1
11464, 0, 0, 0
11466, 2, 0, 1
11466, 0, 0, 0
11470, 2, 0, 1
11470, 2, 1, -1
11470, 0, 0, 0
11475, 2, 0, 1
11475, 0, 0, 0
11477, 2, 1, -1
11477, 0, 0, 0
11481, 2, 0, 1
11481, 0, 0, 0
11561, 2, 1, -1
11561, 0, 0, 0
11588, 2, 0, 1
11588, 0, 0, 0
11589, 2, 1, -1
11589, 0, 0, 0
11594, 2, 0, 1
11594, 2, 1, -1
11594, 0, 0, 0
11601, 2, 1, -1
11601, 0, 0, 0
11602, 2, 0, 1
11602, 0, 0, 0
11665, 2, 0, 1
11665, 0, 0, 0
11668, 2, 1, -1
11668, 0, 0, 0
11674, 2, 0, 1
11674, 0, 0, 0
11693, 2, 1, -1
11693, 0, 0, 0
11695, 2, 0, 1
11695, 0, 0, 0
12206, 2, 0, 1
12206, 0, 0, 0
12214, 2, 0, 1
12214, 0, 0, 0
12219, 2, 0, 1
12219, 0, 0, 0
12223, 2, 1, 1
12223, 0, 0, 0
12226, 2, 0, 1
12226, 0, 0, 0
12233, 2, 0, 1
12233, 0, 0, 0
12753, 2, 0, 1
12753, 0, 0, 0
12758, 2, 0, 1
12758, 0, 0, 0
12762, 2, 0, 1
12762, 0, 0, 0
12766, 2, 0, 1
12766, 0, 0, 0
12767, 2, 1, 1
12767, 0, 0, 0
12770, 2, 0, 1
12770, 0, 0, 0
12774, 2, 0, 1
12774, 0, 0, 0
12778, 2, 1, 1
12778, 0, 0, 0
12785, 2, 0, 1
12785, 0, 0, 0
13007, 2, 0, 1
13007, 0, 0, 0
13012, 2, 0, 1
13012, 0, 0, 0
13016, 2, 0, 1
13016, 0, 0, 0
13018, 2, 1, 1
13018, 0, 0, 0
13020, 2, 0, 1
13020, 0, 0, 0
13025, 2, 0, 1
13025, 0, 0, 0
13030, 2, 0, 1
13030, 0, 0, 0
13037, 2, 0, 1
13037, 0, 0, 0
13039, 2, 1, 1
13039, 0, 0, 0
13042, 2, 0, 1
13042, 0, 0, 0
13047, 2, 0, 1
13047, 0, 0, 0
13051, 2, 0, 1
13051, 0, 0, 0
13055, 2, 0, 1
13055, 0, 0, 0
13057, 2, 0, 1
13057, 0, 0, 0
13059, 2, 1, 1
13059, 0, 0, 0
13060, 2, 0, 1
13060, 0, 0, 0
13062, 2, 0, 1
13062, 0, 0, 0
13065, 2, 0, 1
13065, 0, 0, 0
13066, 2, 1, 1
13066, 0, 0, 0
13067, 2, 0, 1
13067, 0, 0, 0
13069, 2, 0, 1
13069, 0, 0, 0
13071, 2, 0, 1
