millisec, event-type, event-code, event-value
37939, 4, 4, 458756
37939, 1, 30, 1
37939, 0, 0, 0
38191, 1, 30, 2
38191, 0, 0, 1
38231, 1, 30, 2
38231, 0, 0, 1
38271, 1, 30, 2
38271, 0, 0, 1
38300, 4, 4, 458774
38300, 1, 31, 1
38300, 0, 0, 0
38555, 1, 31, 2
38555, 0, 0, 1
38591, 4, 4, 458774
38591, 1, 31, 0
38591, 0, 0, 0
38716, 4, 4, 458778
38716, 1, 17, 1
38716, 0, 0, 0
38841, 4, 4, 458756
38841, 1, 30, 0
38841, 0, 0, 0
39022, 4, 4, 458778
39022, 1, 17, 0
39022, 0, 0, 0
39372, 4, 4, 458759
39372, 1, 32, 1
39372, 0, 0, 0
39438, 4, 4, 458759
39438, 1, 32, 0
39438, 0, 0, 0
40144, 4, 4, 458760
40144, 1, 18, 1
40144, 0, 0, 0
40234, 4, 4, 458760
40234, 1, 18, 0
40234, 0, 0, 0
40746, 4, 4, 458778
40746, 1, 17, 1
40746, 0, 0, 0
40999, 1, 17, 2
40999, 0, 0, 1
41039, 1, 17, 2
41039, 0, 0, 1
41056, 4, 4, 458778
41056, 1, 17, 0
41056, 0, 0, 0
41081, 4, 4, 458778
41081, 1, 17, 1
41081, 0, 0, 0
41132, 4, 4, 458778
41132, 1, 17, 0
41132, 0, 0, 0
42385, 4, 4, 458774
42385, 1, 31, 1
42385, 0, 0, 0
42639, 1, 31, 2
42639, 0, 0, 1
42679, 1, 31, 2
42679, 0, 0, 1
42719, 1, 31, 2
42719, 0, 0, 1
42759, 1, 31, 2
42759, 0, 0, 1
42799, 1, 31, 2
42799, 0, 0, 1
42839, 1, 31, 2
42839, 0, 0, 1
42879, 1, 31, 2
42879, 0, 0, 1
42919, 1, 31, 2
42919, 0, 0, 1
42959, 1, 31, 2
42959, 0, 0, 1
42999, 1, 31, 2
42999, 0, 0, 1
43039, 1, 31, 2
43039, 0, 0, 1
43079, 1, 31, 2
43079, 0, 0, 1
43119, 1, 31, 2
43119, 0, 0, 1
43159, 1, 31, 2
43159, 0, 0, 1
43199, 1, 31, 2
43199, 0, 0, 1
43239, 1, 31, 2
43239, 0, 0, 1
43279, 1, 31, 2
43279, 0, 0, 1
43287, 4, 4, 458759
43287, 1, 32, 1
43287, 0, 0, 0
43539, 1, 32, 2
43539, 0, 0, 1
43579, 1, 32, 2
43579, 0, 0, 1
43619, 1, 32, 2
43619, 0, 0, 1
